"","outcome","overall_prob_outcome","sd_outcome","num_subjects","num_samples","icc_data","icc_pred","shuffle_AUC random intercept only:","shuffle_Accuracy random intercept only:","shuffle_AUC:","shuffle_Accuracy:","shuffle_Mean AUC within-person:","shuffle_SD AUC within-person:","shuffle_% of AUC > 0.5 within-person:","shuffle_N included within-person:","real_AUC random intercept only:","real_Accuracy random intercept only:","real_AUC:","real_Accuracy:","real_Mean AUC within-person:","real_SD AUC within-person:","real_% of AUC > 0.5 within-person:","real_N included within-person:","centered_AUC random intercept only:","centered_Accuracy random intercept only:","centered_AUC:","centered_Accuracy:","centered_Mean AUC within-person:","centered_SD AUC within-person:","centered_% of AUC > 0.5 within-person:","centered_N included within-person:","subjectwise_AUC random intercept only:","subjectwise_Accuracy random intercept only:","subjectwise_AUC:","subjectwise_Accuracy:","subjectwise_Mean AUC within-person:","subjectwise_SD AUC within-person:","subjectwise_% of AUC > 0.5 within-person:","subjectwise_N included within-person:","movingwindow_AUC random intercept only:","movingwindow_Accuracy random intercept only:","movingwindow_AUC:","movingwindow_Accuracy:","movingwindow_Mean AUC within-person:","movingwindow_SD AUC within-person:","movingwindow_% of AUC > 0.5 within-person:","movingwindow_N included within-person:","movingwindow_Mean AUC random intercept only:","movingwindow_SD AUC within-person base:","movingwindow_% of AUC > 0.5 within-person base:","movingwindow_N included within-person base:","movingwindowshuffle_AUC random intercept only:","movingwindowshuffle_Accuracy random intercept only:","movingwindowshuffle_AUC:","movingwindowshuffle_Accuracy:","movingwindowshuffle_Mean AUC within-person:","movingwindowshuffle_SD AUC within-person:","movingwindowshuffle_% of AUC > 0.5 within-person:","movingwindowshuffle_N included within-person:","movingwindowshuffle_Mean AUC random intercept only:","movingwindowshuffle_SD AUC within-person base:","movingwindowshuffle_% of AUC > 0.5 within-person base:","movingwindowshuffle_N included within-person base:"
"1","wantedToFeel_pleasant",0.26,0.230396958792189,30,100,0.266044161314452,0.409785687246869,0.776435055914914,0.815937149270483,0.631080834584462,0.7665544332211,0.481139931293744,0.1624971462804,46.6666666666667,30,0.79507530497124,0.818181818181818,0.671555005974379,0.764309764309764,0.532415189196982,0.167405142639825,51.7241379310345,29,0.79507530497124,0.818181818181818,0.725157695834607,0.812570145903479,0.515507509264242,0.153413798204453,51.7241379310345,29,0,0,0.510523641782956,0.705948372615039,0.504144642718746,0.108652736665575,44.4444444444444,9,0.784446391271792,0.809920634920635,0.633429424863047,0.732142857142857,0.520265086047735,0.0918078657244427,60,30,0.505792436301057,0.106199384494428,40,30,0.76785069166196,0.798015873015873,0.610782093640388,0.731349206349206,0.491857522101756,0.097889705935588,46.6666666666667,30,0.448147328505716,0.100668086376126,26.6666666666667,30
"2","wantedToFeel_control",0.193333333333333,0.162911724209946,30,100,0.160826538052146,0.409785687246869,0.756741624042856,0.794612794612795,0.592415483792864,0.784511784511784,0.466030102020193,0.155639394238267,35.7142857142857,28,0.77961778147071,0.820426487093154,0.662039883672621,0.810325476992144,0.517859542531852,0.159155955361236,56,25,0.77961778147071,0.820426487093154,0.708977980889074,0.811447811447811,0.480125611440334,0.196458562966187,64,25,0,0,0.585127468317123,0.773288439955107,0.537989420417414,0.0505605820560152,77.7777777777778,9,0.765080366754519,0.83015873015873,0.662346721605602,0.807142857142857,0.564258644901045,0.120601414942236,68.9655172413793,29,0.499601618876237,0.13925424167442,58.6206896551724,29,0.729766834917671,0.802777777777778,0.603280542189116,0.796428571428571,0.479592949903035,0.0964379541663175,41.3793103448276,29,0.465723044804943,0.0995500130916163,34.4827586206897,29
"3","wantedToFeel_goodAboutMe",0.217666666666667,0.268914591406388,30,100,0.412864787289714,0.409785687246869,0.8690033534917,0.861952861952862,0.734141071152956,0.780022446689113,0.517591142603457,0.206729289916574,57.6923076923077,26,0.86183386981402,0.865319865319865,0.727668991416309,0.805836139169472,0.505708776121736,0.168120883877656,50,24,0.86183386981402,0.865319865319865,0.806732832618026,0.864197530864197,0.48023119990408,0.183901701541819,41.6666666666667,24,0,0,0.561567259423126,0.768799102132436,0.423981925897706,0.169043622578401,44.4444444444444,9,0.862817598827314,0.871428571428571,0.730527106801047,0.802777777777778,0.526439853308186,0.127464049520163,57.1428571428571,28,0.513510402350725,0.151250802469751,53.5714285714286,28,0.851092140544184,0.865079365079365,0.710717373148325,0.78452380952381,0.491863431448385,0.148309453099644,51.7241379310345,29,0.432642614054172,0.132160600771379,27.5862068965517,29
"4","wantedToFeel_connected",0.163,0.180251739673082,30,100,0.228557410858504,0.409785687246869,0.812932284694333,0.849607182940516,0.668195931875651,0.849607182940516,0.497619200716614,0.204133333013127,56,25,0.83230911569926,0.865319865319865,0.716093689131282,0.851851851851852,0.458230937964809,0.216802467674057,34.6153846153846,26,0.83230911569926,0.865319865319865,0.777858395013635,0.859708193041526,0.545903130246602,0.208424497829823,61.5384615384615,26,0,0,0.517619263728343,0.881032547699214,0.490945992304626,0.147712921809959,66.6666666666667,9,0.801704244229335,0.863095238095238,0.692164408041698,0.848809523809524,0.505563741062281,0.118684396045502,60,25,0.48841268554191,0.129045526753165,44,25,0.77214706062898,0.845634920634921,0.661665116591518,0.838095238095238,0.515417202007739,0.123182408530624,46.1538461538462,26,0.458817793723027,0.118106539509631,34.6153846153846,26
"5","wantedToFeel_comfort",0.283333333333333,0.220834363476235,30,100,0.230568059442972,0.409785687246869,0.766244779994367,0.757575757575758,0.598488188397811,0.72615039281706,0.503834469384184,0.208938571370949,46.6666666666667,30,0.801691180206269,0.793490460157127,0.66100505512371,0.73625140291807,0.507444550997683,0.181560029960653,46.4285714285714,28,0.801691180206269,0.793490460157127,0.706863156022964,0.777777777777778,0.489368340119247,0.187033671827537,53.5714285714286,28,0,0,0.509095151974797,0.65993265993266,0.489860190760684,0.0584772370743202,44.4444444444444,9,0.777919106765661,0.776190476190476,0.610863368158763,0.718650793650794,0.500495043356949,0.140137537721194,48.2758620689655,29,0.506470643889285,0.131270834374247,51.7241379310345,29,0.748088199445638,0.765079365079365,0.605689724057418,0.705952380952381,0.514663052392633,0.112543347953763,53.3333333333333,30,0.450037853791519,0.102839415017421,36.6666666666667,30
"6","wantedToFeel_calm",0.278666666666667,0.205807632533867,30,100,0.201261014842615,0.409785687246869,0.731137948207171,0.778900112233446,0.641652141434263,0.72615039281706,0.490148122023221,0.188481400308213,56.6666666666667,30,0.744332184931419,0.781144781144781,0.654331023626111,0.735129068462402,0.525774871161014,0.152966497270159,50,30,0.744332184931419,0.781144781144781,0.687844359282055,0.774410774410774,0.532889888111872,0.14924699000029,56.6666666666667,30,0,0,0.508497316636852,0.689113355780022,0.488672330807566,0.0807499514002966,55.5555555555556,9,0.755174140139944,0.786111111111111,0.650868631122499,0.728571428571429,0.525670507425046,0.11140987257849,60,30,0.524532257471005,0.111498040000402,60,30,0.706439727211604,0.75952380952381,0.600702334069733,0.718253968253968,0.460150170365968,0.0781347514180652,30,30,0.468425787578401,0.0725133599139782,30,30
"7","wantedToFeel_excited",0.135333333333333,0.177991346812787,30,100,0.260922814320902,0.409785687246869,0.845610482971995,0.898989898989899,0.762068612507679,0.881032547699214,0.56639011873657,0.196714148956779,56.5217391304348,23,0.824514991181658,0.876543209876543,0.710441954559601,0.859708193041526,0.49791077534321,0.288140489274571,46.1538461538462,26,0.824514991181658,0.876543209876543,0.751021890237576,0.859708193041526,0.567355753959869,0.221679272667661,53.8461538461538,26,0,0,0.555708735430504,0.88327721661055,0.576301570669297,0.176512362573487,66.6666666666667,9,0.806176546917287,0.890079365079365,0.720770839426532,0.877777777777778,0.575836004129347,0.183318577345295,75,28,0.462067088628423,0.173439243046399,50,28,0.804138064219229,0.875,0.698297138568244,0.871428571428571,0.49323610240937,0.176279995401411,44.4444444444444,27,0.461932588164314,0.146298633456965,37.037037037037,27
"8","wantedToFeel_competent",0.168,0.164388102598278,30,100,0.183935375381318,0.409785687246869,0.799167791273054,0.847362514029181,0.625398110661269,0.835016835016835,0.493960877851086,0.171608212308162,50,24,0.813521795348672,0.841750841750842,0.6536080556884,0.826038159371493,0.47514859740679,0.216280146180185,45.8333333333333,24,0.813521795348672,0.841750841750842,0.70565208920063,0.830527497194164,0.51338513662353,0.189565699165457,50,24,0,0,0.496119651017864,0.810325476992144,0.475659652911715,0.0978200787087708,77.7777777777778,9,0.786079250817034,0.845238095238095,0.651658092123424,0.832936507936508,0.562873701184214,0.173289498453461,74.0740740740741,27,0.531205491880907,0.175458415766559,44.4444444444444,27,0.74255328798186,0.837301587301587,0.61196485260771,0.826190476190476,0.520367070073318,0.150775710194941,48.1481481481481,27,0.427391112256371,0.109137076648323,25.9259259259259,27
"9","wantedToFeel_acknowledged",0.063,0.0987560561215851,30,100,0.155868001156007,0.409785687246869,0.832716245283684,0.922558922558923,0.676839803942311,0.922558922558923,0.550749157483823,0.283339716796439,60,20,0.831939466348069,0.93939393939394,0.72978892871366,0.93939393939394,0.489280235691349,0.256948964209368,56.25,16,0.831939466348069,0.93939393939394,0.824826319748661,0.938271604938272,0.628859590290712,0.222521224010103,68.75,16,0,0,0.602136242779865,0.941638608305275,0.466372993888237,0.134059887456155,62.5,8,0.814475955389804,0.942857142857143,0.724385059578643,0.944047619047619,0.57121326923094,0.2295802308877,77.2727272727273,22,0.496579750996003,0.198728213724448,50,22,0.749165338109238,0.933333333333333,0.624552258892708,0.932539682539683,0.476026569828795,0.19082232782629,45.8333333333333,24,0.433589801698254,0.155705890366936,29.1666666666667,24
"10","wantedToFeel_alert",0.083,0.107098085883922,30,100,0.141361325259902,0.409785687246869,0.757656707883639,0.92368125701459,0.590343792437995,0.922558922558923,0.492826526845725,0.191984019963704,42.8571428571429,21,0.806926057474976,0.912457912457912,0.596997093961899,0.91358024691358,0.529152540853041,0.196448350280728,55,20,0.806926057474976,0.912457912457912,0.707353890862125,0.916947250280584,0.547952826048627,0.237351180912374,65,20,0,0,0.46549842347805,0.86307519640853,0.487401750652973,0.132092751574205,62.5,8,0.759068933638465,0.927380952380952,0.64276899361088,0.920634920634921,0.493696757640984,0.150297200526304,54.5454545454545,22,0.525315262970296,0.128462269043645,59.0909090909091,22,0.71640131080158,0.917460317460318,0.573286674143834,0.916269841269841,0.48519440554455,0.183869152782844,40,25,0.443571939125841,0.183837247778496,40,25
