"n_features","n_samples","n_subjects","feature_std","A","B","C","feature_std.1","time_effect","timevariability","overall_prob_outcome","sd_outcome","mean","sd","icc","icc_pred","auc_value_base","auc","auc_individual","auc_individual_sd","total_n","auc_c","auc_c_individual","auc_c_individual_sd","sd_intercept","sd_residual"
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.1,0.1,0.0896666666666667,0.0901279230072059,0.0949233482883088,0.782858442792517,0.764531011505709,0.664240857676868,0.468614615525947,0.168500063722878,126,0.669731631961188,0.500482214470323,0.186012607429811,0.0955246545930639,0.0503089589138005
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.9,0.05,0.896733333333333,0.0552267645777577,0.0280695087132133,0.757819450284,0.629059652578061,0.568588634836401,0.497230907970341,0.151896892370176,148,0.584617182790309,0.519052542226486,0.147941633611714,0.0879913620068912,0.0497424069942779
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.1,0.05,0.0960666666666667,0.0524391199157571,0.026793909112726,0.803208436501789,0.624476811554095,0.547228642901663,0.489470422640022,0.181669420128424,147,0.57032376167454,0.503202193350635,0.178326078119561,0.100971516924897,0.0499790490104884
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.2,0.1,0.1916,0.103222116666573,0.0640787041461819,0.777010223182928,0.664151323054285,0.598842387265386,0.497555499097826,0.115990856155013,149,0.594802278855707,0.487493204140723,0.118668244941211,0.0933620884780328,0.0500149303268679
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.3,0.1,0.302433333333333,0.108248311155458,0.0507760203711876,0.761904047778339,0.623551458669207,0.572229597162471,0.499361664823316,0.0894673723883068,150,0.57839855399687,0.502341345210345,0.0852563338564446,0.0897673340615563,0.0501815640528662
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.4,0.1,0.398066666666667,0.106630495824698,0.0426506998608321,0.8010173480555,0.610989730001579,0.564592104300038,0.48932282649684,0.0812737754896806,150,0.568702627527353,0.499834129369408,0.0710709693849152,0.100131590289668,0.049906574311618
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.8,0.05,0.794866666666667,0.0541683513763133,0.0130585011802327,0.775948328420353,0.559332155450634,0.520318439218264,0.491030394331925,0.103961616111396,150,0.53016992140808,0.501471134822311,0.0944036013003189,0.0926310425598034,0.0497753411533298
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.6,0.05,0.5955,0.0648766252980772,0.0125339941506556,0.789205892600412,0.548579553829977,0.50634052259267,0.482637112102633,0.0823823393259365,150,0.520224270414313,0.504676578657518,0.0777076281779738,0.0967345625649656,0.0499937536275017
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.2,0.05,0.196366666666667,0.0521030750057607,0.0122622106861161,0.825846804703169,0.550578004997376,0.516569986275595,0.499318899870098,0.100549212416014,150,0.526898851480818,0.504186937569257,0.106778038980848,0.108567921632434,0.0498560079805722
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.7,0.05,0.7045,0.0576751781488072,0.0110320905721928,0.802768967414758,0.543688418153298,0.513447544591512,0.49752853271482,0.0998471358967074,150,0.514525398500235,0.497324541264604,0.0811289505809319,0.101290439772774,0.0502065978310814
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.5,0.05,0.499,0.063663334300272,0.0112667333328441,0.808354495940883,0.549282483803936,0.522879497826326,0.498861942358754,0.0767954144496891,150,0.527661259953156,0.505174569779423,0.0822958989299991,0.102651639007772,0.0499820743952403
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.4,0.05,0.399433333333333,0.056830540124371,0.008504816575947,0.805715611331086,0.534941957160423,0.525122298333873,0.510391137281644,0.087283338164453,150,0.51958334569843,0.505343356569138,0.0774899647168943,0.102077291263537,0.050125324868677
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.3,0.05,0.299333333333333,0.0588727061186002,0.0115818646015756,0.775220245506976,0.544173002230496,0.518485318650776,0.502639191673349,0.0842892144134603,150,0.518684612058149,0.499289882933694,0.0829774772471288,0.0934796047206553,0.0503364879026298
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.1,0.15,0.105966666666667,0.153074417865696,0.243141785863502,0.781567131353312,0.877304281301522,0.79324428976015,0.524012065524747,0.195894963304008,98,0.807024772257224,0.514300664649016,0.188162412607373,0.0945806232709082,0.0500009231707801
